source_id,n_ra,n_parallax,n_pmra,n_pmdec,n_phot_g_mean_flux,n_phot_g_mean_mag,n_phot_bp_mean_flux,n_phot_bp_mean_mag,n_phot_rp_mean_flux,n_phot_rp_mean_mag,n_bp_rp,n_bp_g,n_g_rp,teff_gspphot,logg_gspphot,mh_gspphot
89845115195195104,0.967,0.112,0.203,0.271,0.051,0.806,0.071,0.657,0.098,0.615,0.661,0.607,0.856,3551.8462,4.5239,-0.7523
79842278097223600,0.177,0.296,0.346,0.73,0.48,0.249,0.762,0.076,0.362,0.291,0.402,0.324,0.578,4523.2847,4.5854,-1.2797
79572309337884896,0.293,0.557,0.556,0.947,0.022,0.903,0.022,0.842,0.065,0.699,0.761,0.805,0.847,3279.2515,4.6306,-1.1579
26166315157437900,0.879,0.16,0.05,0.341,0.049,0.812,0.091,0.607,0.064,0.703,0.537,0.508,0.676,3697.6106,4.5435,-1.5372
24573367621340800,0.134,0.126,0.236,0.307,0.146,0.593,0.299,0.325,0.121,0.569,0.391,0.3,0.581,4617.6255,4.8451,-1.4795
26860656750193400,0.944,0.102,0.111,0.656,0.033,0.862,0.144,0.505,0.032,0.816,0.343,0.255,0.52,4863.9897,4.8766,-1.9185
75695981094006208,0.227,0.298,0.223,0.379,0.486,0.245,0.622,0.131,0.432,0.242,0.496,0.428,0.678,4454.945,4.5206,0.0952
86422163699060304,0.62,0.061,0.011,0.66,0.052,0.802,0.16,0.479,0.057,0.725,0.398,0.291,0.611,4395.323,5.0411,-2.7728
75257589487375392,0.477,0.272,0.249,0.676,0.542,0.21,0.899,0.031,0.392,0.269,0.379,0.295,0.557,5010.8057,4.7666,-1.5252
101394144815259008,0.465,0.231,0.12,0.47,0.109,0.662,0.192,0.436,0.11,0.591,0.475,0.404,0.656,4036.6108,4.7317,-1.2764
76101292862827600,0.289,0.295,0.044,0.417,0.068,0.757,0.097,0.592,0.1,0.611,0.604,0.555,0.779,3689.4126,4.4349,-1.3849
103028122173136992,0.394,0.117,0.079,0.418,0.011,0.947,0.067,0.667,0.032,0.817,0.494,0.43,0.668,3907.5251,4.9533,-1.1064
79605195902518592,0.096,0.139,0.061,0.473,0.511,0.229,0.925,0.023,0.342,0.306,0.339,0.256,0.51,5119.098,4.685,-0.7382
87266008808709296,0.391,0.023,0.04,0.567,0.087,0.711,0.226,0.395,0.067,0.696,0.345,0.265,0.514,5052.258,4.7894,-2.2886
19220047369677900,0.712,0.201,0.142,0.319,0.062,0.772,0.161,0.478,0.06,0.715,0.406,0.329,0.58,4490.694,4.8424,-1.3442
101858997715492992,0.397,0.036,0.039,0.61,0.046,0.821,0.173,0.461,0.032,0.815,0.302,0.232,0.448,5570.109,4.7325,-1.3614
74674019395518304,0.202,0.072,0.077,0.529,0.515,0.227,0.978,0.008,0.321,0.323,0.31,0.231,0.468,5358.9736,4.6888,-1.4493
24442560097918900,0.436,0.564,0.474,0.233,0.119,0.643,0.117,0.551,0.164,0.497,0.665,0.639,0.825,3635.7646,4.8126,-0.3075
26052000307412800,0.968,0.29,0.148,0.18,0.165,0.563,0.248,0.372,0.156,0.509,0.488,0.427,0.658,4040.5615,4.7748,-0.6227
85930750721073104,0.171,0.163,0.246,0.663,0.015,0.933,0.042,0.749,0.051,0.742,0.636,0.597,0.805,3341.8655,4.6105,-0.9269
26353747530056900,0.838,0.556,0.133,0.497,0.105,0.67,0.129,0.529,0.127,0.557,0.592,0.562,0.742,3580.4722,4.5749,-1.0896
76360257915513792,0.156,0.166,0.176,0.488,0.188,0.529,0.32,0.308,0.171,0.486,0.447,0.356,0.648,4235.7817,4.3905,-0.3934
89242651543139904,0.593,0.211,0.058,0.794,0.076,0.737,0.155,0.487,0.076,0.67,0.454,0.394,0.615,4221.9775,4.8156,-0.9152
